ScanNo,ＯＷＬ�,経度,緯度,平面直�,平面��_1
51,"97",136.927012978,37.297524064,144000.180328197,-21246.463623326
52,"96",136.927041842,37.297591551,144007.663050609,-21243.885719660
53,"95",136.927080103,37.297653016,144014.475419760,-21240.476398827
54,"94",136.927151587,37.297701678,144019.859492578,-21234.125321446
55,"93",136.927207911,37.297759262,144026.237107812,-21229.115695319
56,"92",136.927292718,37.297766103,144026.977167250,-21221.595305434
57,"91",136.927302418,37.297726037,144022.528843817,-21220.746614896
58,"90",136.927326919,37.297642833,144013.290003845,-21218.597807325
59,"89",136.927330693,37.297550870,144003.083741481,-21218.289054078
60,"88",136.927397103,37.297476560,143994.822525192,-21212.422378579
61,"87",136.927472654,37.297396700,143985.943247643,-21205.746770276
62,"86",136.927466777,37.297325864,143978.083757140,-21206.287700991
63,"85",136.927519248,37.297254365,143970.137644612,-21201.655954485
64,"84",136.927615183,37.297320729,143977.480683188,-21193.132156653
65,"83",136.927719753,37.297373320,143983.293432129,-21183.846758775
66,"82",136.927772303,37.297380042,143984.027605847,-21179.186035017
67,"81",136.927865082,37.297398599,143986.066094764,-21170.955486072
68,"162",136.927940702,37.297375972,143983.538249276,-21164.257769507
69,"161",136.927987463,37.297349792,143980.622449751,-21160.119471169
70,"160",136.928026701,37.297301424,143975.246208454,-21156.654326076
71,"159",136.927994596,37.297239157,143968.343468948,-21159.518096546
72,"158",136.927893790,37.297208021,143964.910793169,-21168.463756667
73,"157",136.927766232,37.297168774,143960.583971600,-21179.783540901
74,"156",136.927668929,37.297141237,143957.549952001,-21188.417672129
75,"155",136.927586755,37.297109841,143954.084274517,-21195.711683411
76,"154",136.927519950,37.297102082,143953.238232859,-21201.636476615
77,"153",136.927417012,37.297077011,143950.479166136,-21210.769539619
78,"152",136.927293902,37.297047118,143947.189473317,-21221.692268497
79,"151",136.927178289,37.297010049,143943.101751920,-21231.952426332
80,"150",136.927138341,37.297033239,143945.684175256,-21235.487501397
81,"149",136.927102224,37.297032192,143945.576069039,-21238.689775127
82,"148",136.927055414,37.297012283,143943.377239455,-21242.845338321
83,"147",136.927006483,37.297002176,143942.266667771,-21247.186222164
84,"146",136.926935246,37.296998930,143941.922420642,-21253.502672426
85,"145",136.926882208,37.296987135,143940.625477229,-21258.208154100
86,"144",136.926816794,37.296971187,143938.870396636,-21264.011950540
87,"143",136.926785518,37.296961974,143937.855026401,-21266.787289850
88,"142",136.926739865,37.296947247,143936.230995334,-21270.838897937
89,"141",136.926668071,37.296936960,143935.105643916,-21277.206739737
90,"140",136.926619478,37.296921775,143933.431476077,-21281.519051304
91,"206",136.926605555,37.296979701,143939.862737716,-21282.737073775
92,"205",136.926696290,37.296986882,143940.639213894,-21274.690882767
93,"204",136.926746787,37.296998102,143941.872941154,-21270.210877739
94,"203",136.926789866,37.297007675,143942.925595416,-21266.388959765
95,"202",136.926845511,37.297024228,143944.749987760,-21261.451078379
96,"201",136.926896314,37.297063392,143949.084676889,-21256.936137942
97,"200",136.926872409,37.297114626,143954.775614541,-21259.040955426
