fid,立木ID,立木番号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,調査地範囲,コメント,幹周,経度,緯度,平面直角Ｘ,平面直角Ｙ,エリア
225,618,-1,アカマツ,45.59999847,12.69999981,13.89999962,0.828807354,生立木,0,1,0,0,1,,143.1999969,136.9271956,37.29713642,143957.1212,-21230.38311,A1_5a
226,619,-1,スギ,42.78369904,26.60000038,2.141200066,1.592493176,生立木,0,0,0,0,1,,134.1000061,136.9274296,37.29711026,143954.1665,-21209.6481,A1_5a
227,620,-1,スギ,33.58039856,21.10000038,2.261700153,0.812968194,生立木,0,0,0,0,1,,105.1999969,136.9272854,37.29715562,143959.232,-21222.41274,A1_5a
228,621,-1,スギ,32.63129807,22.79999924,1.629899979,0.833138883,生立木,0,0,0,0,1,,102.4000015,136.927387,37.29719253,143963.3048,-21213.39388,A1_5a
229,622,-1,スギ,41.62179947,24.60000038,1.567199945,1.40135324,生立木,0,0,0,0,1,,130.6000061,136.9273558,37.29718927,143962.9502,-21216.16629,A1_5a
230,623,-1,スギ,48.19689941,21.60000038,2.306999922,1.610189557,生立木,0,0,0,0,1,,151.1000061,136.927411,37.29723007,143967.4658,-21211.26132,A1_5a
231,624,-1,スギ,45.81629944,24.79999924,0.402400017,1.683525443,生立木,0,0,0,0,1,,143.8000031,136.9273553,37.29724517,143969.1545,-21216.19222,A1_5a
232,625,-1,スギ,43.11820221,23.39999962,0.6074,1.422398925,生立木,0,0,0,0,1,,135.3999939,136.927281,37.29723914,143968.5019,-21222.78307,A1_5a
233,626,-1,スギ,53.5121994,23.10000038,0.601199985,2.083605051,生立木,0,0,0,0,1,,168,136.9273434,37.29728966,143974.0937,-21217.23172,A1_5a
234,628,-1,スギ,57.78519821,24.39999962,2.114200115,2.53141737,生立木,0,0,0,0,1,,181.1999969,136.9273436,37.29712523,143955.8466,-21217.26655,A1_5a
235,629,-1,スギ,39.707901,26,3.57220006,1.358469248,生立木,0,0,0,0,1,,124.6999969,136.9273761,37.29711973,143955.2294,-21214.38338,A1_5a
236,630,-1,スギ,38.83309937,24.70000076,0.840600014,1.239567041,生立木,0,0,0,0,1,,121.8000031,136.9273958,37.29714149,143957.6388,-21212.63143,A1_5a
237,631,-1,スギ,38.72930145,23.60000038,3.967699766,1.179001451,生立木,0,0,0,0,1,,121.5,136.9274649,37.29714902,143958.4595,-21206.50538,A1_5a
238,632,-1,スギ,34.60919952,23.70000076,3.535200119,0.964035332,生立木,0,0,0,0,1,,108.5999985,136.9274193,37.29716122,143959.8233,-21210.54323,A1_5a
239,633,-1,スギ,34.34769821,20.29999924,0.995000005,0.815347254,生立木,0,0,0,0,1,,107.6999969,136.9274723,37.29717687,143961.5479,-21205.83998,A1_5a
240,634,-1,スギ,35.93370056,18.60000038,1.465399981,0.81183815,生立木,0,0,0,0,1,,112.6999969,136.9274425,37.29729437,143974.5938,-21208.45107,A1_5a
241,635,-1,スギ,36.50550079,22.29999924,1.360499978,1.000411272,生立木,0,0,0,0,1,,114.5999985,136.9273936,37.29729534,143974.7127,-21212.78077,A1_5a
242,636,-1,スギ,37.0515976,23.10000038,0.715999961,1.064507604,生立木,0,0,0,0,1,,116.1999969,136.9273826,37.29731201,143976.5658,-21213.75085,A1_5a
243,637,-1,スギ,33.41699982,21.39999962,3.717499971,0.817122638,生立木,0,0,0,0,1,,104.9000015,136.9273766,37.29733451,143979.0631,-21214.27834,A1_5a
244,638,-1,スギ,38.78760147,24.5,2.237999916,1.226976514,生立木,0,0,0,0,1,,121.5,136.9273637,37.2973536,143981.1848,-21215.41404,A1_5a
245,639,-1,スギ,45.2840004,24.60000038,1.289000034,1.634775281,生立木,0,0,0,0,1,,141.8999939,136.9273041,37.29731517,143976.9336,-21220.71383,A1_5a
246,640,-1,スギ,37.54920197,23.10000038,1.457000017,1.090771556,生立木,0,0,0,0,1,,117.8000031,136.927281,37.29736807,143982.8096,-21222.74471,A1_5a
247,641,-1,アカマツ,17.39999962,0.100000001,0,0.001710493,生立木,0,0,0,0,1,,54.59999847,136.927229,37.29727926,143972.965,-21227.38266,A1_5a
248,642,-1,アカマツ,16.89999962,18.10000038,1.600000024,0.192038491,生立木,0,0,0,0,1,,53,136.9272009,37.29734291,143980.035,-21229.85141,A1_5a
