ScanNo,OWL_No,経度,緯度,平面直行_X,平面直行_Y
60,"209",136.918660500,37.301362170,144428.014000000,-21985.835000000
61,"210",136.918598190,37.301316800,144422.994000000,-21991.372000000
62,"211",136.918638790,37.301274820,144418.326000000,-21987.785000000
63,"212",136.918752700,37.301289650,144419.945000000,-21977.683000000
64,"213",136.918768410,37.301224240,144412.682000000,-21976.309000000
65,"214",136.918745030,37.301162720,144405.861000000,-21978.400000000
66,"215",136.918862200,37.301149560,144404.373000000,-21968.016000000
67,"216",136.918863740,37.301231320,144413.446000000,-21967.856000000
68,"217",136.918950310,37.301219130,144412.073000000,-21960.185000000
69,"218",136.918946700,37.301147710,144404.148000000,-21960.526000000
70,"219",136.918943330,37.301082710,144396.936000000,-21960.844000000
71,"220",136.919047310,37.301054200,144393.748000000,-21951.634000000
72,"221",136.919072940,37.301136630,144402.889000000,-21949.338000000
73,"222",136.919095990,37.301175900,144407.242000000,-21947.283000000
74,"223",136.919170220,37.301159850,144405.444000000,-21940.707000000
75,"224",136.919170240,37.301078780,144396.447000000,-21940.729000000
76,"225",136.919232480,37.301037230,144391.822000000,-21935.223000000
77,"226",136.919262810,37.301101920,144398.993000000,-21932.516000000
78,"227",136.919334350,37.301163780,144405.842000000,-21926.156000000
79,"228",136.919373430,37.301106730,144399.501000000,-21922.708000000
80,"229",136.919397550,37.301061050,144394.427000000,-21920.583000000
81,"230",136.919470790,37.301004930,144388.182000000,-21914.106000000
82,"231",136.919406520,37.300963050,144383.549000000,-21919.816000000
83,"232",136.919508110,37.300958020,144382.968000000,-21910.812000000
84,"233",136.919585830,37.300995940,144387.158000000,-21903.911000000
85,"234",136.919666950,37.301022910,144390.132000000,-21896.711000000
86,"235",136.919765090,37.301065090,144394.790000000,-21887.999000000
87,"236",136.919852980,37.301118890,144400.740000000,-21880.192000000
88,"237",136.919921520,37.301160770,144405.371000000,-21874.104000000
89,"238",136.919883380,37.301203440,144410.116000000,-21877.472000000
90,"239",136.919809880,37.301176650,144407.160000000,-21883.996000000
91,"240",136.919734260,37.301164880,144405.871000000,-21890.703000000
92,"241",136.919654500,37.301144600,144403.639000000,-21897.780000000
93,"242",136.919615390,37.301094820,144398.124000000,-21901.261000000
94,"243",136.919555830,37.301071700,144395.572000000,-21906.548000000
95,"244",136.919449600,37.301096720,144398.373000000,-21915.958000000
96,"245",136.919479830,37.301170400,144406.543000000,-21913.257000000
97,"246",136.919594140,37.301186480,144408.301000000,-21903.119000000
